Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
764 59th st,Oakland,Alameda-County,Ca,94609,1195000.0,0.0,0.0,4.0,3.0,2262.0,Single family residential,1908.0,Active
655 foster ct #1,Hayward,Alameda-County,Ca,94544,550000.0,0.0,0.0,2.0,1.5,1125.0,Townhouse,1981.0,Active
7527 frederiksen ln,Dublin,Alameda-County,Ca,94568,1199000.0,0.0,0.0,3.0,2.0,1053.0,Single family home,1964.0,Active
34249 xanadu ter,Fremont,Alameda-County,Ca,94555,1799950.0,0.0,0.0,4.0,2.5,1812.0,Single family residential,1989.0,New
4881 bryce canyon park dr,Fremont,Alameda-County,Ca,94538,1399000.0,46.0,49.0,3.0,2.0,1347.0,Single family home,1963.0,Active
1970 barton way,Hayward,Alameda-County,Ca,94545,1029800.0,53.0,40.0,4.0,2.5,1751.0,Single family home,1992.0,Active
4271 clarinbridge cir,Dublin,Alameda-County,Ca,94568,799000.0,0.0,0.0,2.0,2.5,1428.0,Condo,2004.0,Active
3006 madeline st,Oakland,Alameda-County,Ca,94602,629000.0,83.0,49.0,2.0,1.0,816.0,Single family residential,1923.0,Active
957 54th,Oakland,Alameda-County,Ca,94508,1399000.0,88.0,99.0,5.0,1.0,2789.0,Multi-family (2-4 unit),1900.0,Active
171 marlow dr,Oakland,Alameda-County,Ca,94605,950000.0,50.0,23.0,2.0,1.5,1108.0,Single family residential,1946.0,Active
185 parfait ln,Alameda,Alameda-County,Ca,94502,1280000.0,45.0,79.0,3.0,2.5,1701.0,Single family residential,1988.0,Active
10530 stella st,Oakland,Alameda-County,Ca,94605,1099888.0,26.0,24.0,5.0,3.5,2892.0,Single family residential,2007.0,Active
4830 ygnacio blvd,Oakland,Alameda-County,Ca,94601,599000.0,85.0,57.0,3.0,2.0,1122.0,Single family residential,1920.0,Active
4424 camden,Oakland,Alameda-County,Ca,94619,700000.0,0.0,0.0,2.0,1.0,1182.0,Single family residential,1945.0,Active
5420 san jose dr,Pleasanton,Alameda-County,Ca,94566,1600000.0,0.0,0.0,4.0,2.0,1919.0,Single family residential,1971.0,Active
32507 lake chabot st,Fremont,Alameda-County,Ca,94555,1650000.0,52.0,55.0,4.0,2.0,1476.0,Single family residential,1973.0,Active
3127 62nd ave,Oakland,Alameda-County,Ca,94605,879000.0,82.0,64.0,4.0,2.0,1788.0,Single family residential,1927.0,Active
2710 harrison st,Oakland,Alameda-County,Ca,94612,849000.0,0.0,0.0,3.0,3.0,1843.0,Single family residential,1924.0,Active
50 bannister way,Alameda,Alameda-County,Ca,94502,1350000.0,24.0,64.0,3.0,2.5,1772.0,Single family residential,1991.0,Active
18779 w cavendish dr,Castro valley,Alameda-County,Ca,94552,1500000.0,0.0,0.0,4.0,3.0,2292.0,Single family residential,1978.0,Active
5879 saint paul ct,Oakland,Alameda-County,Ca,94618,1398000.0,28.0,28.0,3.0,2.5,2743.0,Single family residential,1947.0,Active
3146 san rafael way,Union city,Alameda-County,Ca,94587,900000.0,0.0,0.0,2.0,1.0,1365.0,Single family residential,1934.0,Active
1201 pine st #465,Oakland,Alameda-County,Ca,94607,495000.0,67.0,83.0,1.0,1.0,781.0,Condo,2009.0,Active
133 ray st,Pleasanton,Alameda-County,Ca,94566,759950.0,0.0,0.0,2.0,2.0,1262.0,Condo,1987.0,Active
36739 hafner st,Newark,Alameda-County,Ca,94560,1190000.0,80.0,50.0,4.0,2.0,1216.0,Single family residential,1954.0,Active
2214 browning st,Berkeley,Alameda-County,Ca,94702,1249000.0,0.0,0.0,3.0,2.0,1560.0,Single family residential,1918.0,Active
1510 e st #22,Hayward,Alameda-County,Ca,94541,498000.0,54.0,26.0,2.0,2.0,1120.0,Condo,1974.0,Active
1625 san lorenzo ave,Berkeley,Alameda-County,Ca,94707,1199000.0,93.0,78.0,2.0,2.0,1153.0,Single family residential,1925.0,Active
3092 san andreas dr,Union city,Alameda-County,Ca,94587,898000.0,52.0,55.0,2.0,1.0,1195.0,Single family home,1970.0,Contingent
